source,title,company,location,date,link,description,responsibilities,requirements,skills,languages,experience_years,education_level,contract_type,seniority_level,job_category,detail_scrape_status
EmploiTunisie,Technicien Maintenance Industrielle - Gaafour,None,None,None,https://www.emploitunisie.com/recruteur/216076,"TUNIPA S.A Profil de lentreprise Entreprise : TUNIPA S.A Ville : Tunis Pays : Tunisie Secteur dactivité : Industrie pharmaceutique - Industrie, production, fabrication, autres - Santé, pharmacie, hôpitaux, équipements médicaux Site Internet : non disponible Description de l'entreprise TUNIPA S.A est une société d'industrie pharmaceutique : fabrication de dispositif médical , siège social à Tunis, usine à zone industrielle Gâafour. Nos offres d'emploi",,,,,,,,,IT & Software,ok
EmploiTunisie,Commercial Terrain (H/F) - Bizerte,None,None,None,https://www.emploitunisie.com/recruteur/365315,"EZZAITOUNA Profil de lentreprise Entreprise : EZZAITOUNA Ville : Bizerte Pays : Tunisie Secteur dactivité : Equip. électriques, électroniques, optiques, précision Site Internet : non disponible Description de l'entreprise La Société Ezzaitouna, spécialisée dans la quincaillerie en gros Nos offres d'emploi",,,,,,,,,IT & Software,ok
EmploiTunisie,Téléconseiller(ère) en Assurance Française - Tunis,None,None,None,https://www.emploitunisie.com/recruteur/154956,"ZENITH ASSURANCE Profil de lentreprise Entreprise : ZENITH ASSURANCE Ville : TUNIS Pays : Tunisie Secteur dactivité : Centres dappel, hotline, call center Site Internet : https://www.zenithassurances.com Description de l'entreprise Zénith Assurance Tunisie est une filiale de Zénith Assurance France, spécialisée dans le courtage en assurance pour les particuliers et les professionnels. Nos offres d'emploi",,,,,,,,,IT & Software,ok
EmploiTunisie,"Conseiller Immobilier Terrain - Sousse, Monastir, Sfax, Kairoun",None,None,None,https://www.emploitunisie.com/recruteur/223706,"TECNOCASA KHZEMA Profil de lentreprise Entreprise : TECNOCASA KHZEMA Ville : Sousse Pays : Tunisie Secteur dactivité : Distribution, vente, commerce de gros - Immobilier, architecture, urbanisme - Marketing, communication, médias - Services autres Site Internet : https://khezama.tecnocasa.tn/sousse-jawhara/sousse-khzema/ Description de l'entreprise La marque Tecnocasa a été fondée en 1979, lorsque son fondateur, Oreste Pasquali, a lancé un plan de développement dagences de courtage immobilier dans la banlieue de Milan (Italie). Lidée de construire un réseau dagences ayant pignon sur rue, donnant de la visibilité et de la transparence au service dintermédiation immobilière avec un contact plus direct avec le client, a été une grande innovation pour le secteur. Nos offres d'emploi",,,communication,,,,,,IT & Software,ok
EmploiTunisie,Coordinateur(trice) Pédagogique et Administratif(ve) - Nabeul,None,None,None,https://www.emploitunisie.com/recruteur/373891,"LEADERS UNIVERSITY Profil de lentreprise Entreprise : LEADERS UNIVERSITY Ville : Tunis Pays : Tunisie Secteur dactivité : Éducation, formation Site Internet : https://leaders-university.tn/ Description de l'entreprise Leaders University est une université privée tunisienne spécialisée dans les domaines du management (gestion) et de linformatique, reconnue par le Ministère de lEnseignement Supérieur de Tunisie depuis 2014, avec un nouveau campus à Tunis ouvert en 2025. Elle forme des professionnels prêts à entrer sur le marché du travail et à relever les défis du monde professionnel moderne Nos offres d'emploi",,,,,,,,Senior,IT & Software,ok
EmploiTunisie,Représentante Commerciale B2B / B2C - Tunis,None,None,None,https://www.emploitunisie.com/recruteur/364070,"CODE ONCE TUNISIE Profil de lentreprise Entreprise : CODE ONCE TUNISIE Ville : Tunis Pays : Tunisie Secteur dactivité : Informatique, SSII, Internet Site Internet : https://www.codeonce.fr/ Description de l'entreprise Depuis 2012, Code Once se distingue comme un partenaire stratégique de la transformation industrielle et digitale. Grâce à notre centre Nearshore et à notre expertise en architectures modernes, nous concevons des solutions innovantes combinant intelligence artificielle et cloud, parfaitement alignées avec les enjeux métiers. Notre valeur ajoutée Optimisation des coûts Grâce à lautomatisation et aux architectures modernes associées à la GenAI, nous réduisons les coûts de développement tout en améliorant significativement lefficacité. Vision orientée impact Nous ne nous contentons pas de développer des solutions technologiques : nous concevons des outils capables de transformer vos processus métiers et de créer de la valeur à chaque étape. Innovation continue En intégrant lIA et des approches avant-gardistes, nous garantissons des solutions pérennes, évolutives et scalables. Ce que nos clients gagnent Une expertise sur mesure pour répondre aux problématiques les plus complexes. Une agilité unique pour innover rapidement dans un environnement en constante évolution. Une stratégie orientée résultats, qui transforme vos idées en succès concrets. Avec Code Once, choisissez un partenaire visionnaire, prêt à relever vos défis technologiques, à maximiser vos opportunités digitales et à bâtir des architectures robustes et évolutives. Nos offres d'emploi",,,,,,,,,IT & Software,ok
EmploiTunisie,Assistante Administrative - Sfax,None,None,None,https://www.emploitunisie.com/recruteur/368815,"EVO CONTROL Profil de lentreprise Entreprise : EVO CONTROL Ville : SFAX Pays : Tunisie Secteur dactivité : BTP, construction - Ingénierie, études développement Site Internet : non disponible Description de l'entreprise EVO CONTROL est un bureau de contrôle technique basé à Sfax, Tunisie, intervenant dans le domaine du BTP, de lingénierie et du suivi des travaux de construction. Domaine dactivité : Lentreprise est spécialisée dans les missions dinspection, dexpertise technique et de contrôle qualité dans le secteur du génie civil. Elle intervient principalement pour garantir la conformité des ouvrages aux normes techniques et réglementaires en vigueur. Missions principales : EVO CONTROL réalise notamment : Le contrôle technique des projets de construction Linspection des chantiers et des structures Lanalyse des dossiers techniques Le suivi de lexécution des travaux La rédaction de rapports dexpertise Objectif : Assurer la sécurité, la fiabilité et la qualité des infrastructures à travers un accompagnement technique rigoureux des projets de construction. Positionnement : Installée à Sfax, la société évolue dans un environnement où le secteur du BTP nécessite des services dexpertise et de contrôle pour garantir le respect des standards de construction. Nos offres d'emploi","Missions principales : EVO CONTROL réalise notamment : Le contrôle technique des projets de construction Linspection des chantiers et des structures Lanalyse des dossiers techniques Le suivi de lexécution des travaux La rédaction de rapports dexpertise Objectif : Assurer la sécurité, la fiabilité et la qualité des infrastructures à travers un accompagnement technique rigoureux des projets de construction. Positionnement : Installée à Sfax, la société évolue dans un environnement où le secteur du BTP nécessite des services dexpertise et de contrôle pour garantir le respect des standards de construction. Nos offres d'emploi",,,,,,,,IT & Software,ok
EmploiTunisie,Éditeur Graphique - 100% à Distance,None,None,None,https://www.emploitunisie.com/recruteur/379634,"FULL STACK JACKET Profil de lentreprise Entreprise : FULL STACK JACKET Ville : Vincennes Pays : France Secteur dactivité : Informatique, SSII, Internet - Ingénierie, études développement Site Internet : http://full-stack-jacket.com Description de l'entreprise Full Stack Jacket est une agence française de pointe spécialisée en intelligence artificielle appliquée à la détection de fraude. Notre mission : aider les organisations à sécuriser leurs processus critiques didentification et à prévenir la fraude grâce à des solutions innovantes. Nous proposons à nos clients : Audit et conseil sur leurs systèmes de détection existants Développement de modèles IA de détection de fraude en temps réel (99,7 % de précision, <200 ms) Analyse biométrique avancée (reconnaissance faciale, liveness detection) Cybersécurité et accompagnement pour la mise en conformité réglementaire Formation des équipes et monitoring continu Notre méthodologie suit 4 étapes clés : diagnostic  conception  déploiement  optimisation. Avec plus de 50 clients actifs et 2,5 millions de documents analysés, nous combinons expertise technique et innovation constante pour protéger les données sensibles de nos clients. Nos offres d'emploi",,,cybersecurity,french,,,,,IT & Software,ok
EmploiTunisie,Full Stack Developer - Kasserine,None,None,None,https://www.emploitunisie.com/recruteur/379762,"STEPUP Profil de lentreprise Entreprise : STEPUP Ville : Kasserine Pays : Tunisie Secteur dactivité : Recherche et développement Site Internet : non disponible Description de l'entreprise StepUp is an innovative recruitment platform designed to transform how companies and candidates connect. It focuses on providing accurate, efficient, and intelligent hiring solutions by leveraging modern technologies such as artificial intelligence and data-driven decision-making. The platform acts as a bridge between recruiters and job seekers, enabling companies to find the most suitable candidates while helping individuals discover job opportunities that truly match their skills, experience, and career goals. Nos offres d'emploi",,,,,,,,,IT & Software,ok
EmploiTunisie,Vendeuse - Marsa,None,None,None,https://www.emploitunisie.com/recruteur/27234,"MON BIJOU MACARON Profil de lentreprise Entreprise : MON BIJOU MACARON Ville : Ariana Pays : Tunisie Secteur dactivité : Agroalimentaire - Hôtellerie, restauration Site Internet : http://www.monbijoumacaron.com/ Description de l'entreprise Mon Bijou Macaron est une entreprise spécialisée dans la fabrication de macarons. Nos offres d'emploi",,,,,,,,,IT & Software,ok
